/usr/local/Cellar/python/2.7.13/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/Songyu/Projects/DL_Project/Theano/cnn.py
epoch 1, minibatch 20/20, train loss 1.384036, validation loss 1.386315, train acc 0.000000 %, validation acc 25.000000 %, test acc 27.272727 %
epoch 96, minibatch 20/20, train loss 1.362487, validation loss 0.797412, train acc 35.000000 %, validation acc 75.000000 %, test acc 86.363636 %
epoch 97, minibatch 20/20, train loss 1.360671, validation loss 0.790382, train acc 35.000000 %, validation acc 75.000000 %, test acc 86.363636 %
epoch 98, minibatch 20/20, train loss 1.358667, validation loss 0.783507, train acc 35.000000 %, validation acc 77.500000 %, test acc 86.363636 %
epoch 99, minibatch 20/20, train loss 1.356466, validation loss 0.776776, train acc 35.000000 %, validation acc 77.500000 %, test acc 86.818182 %
epoch 100, minibatch 20/20, train loss 1.354064, validation loss 0.770178, train acc 35.000000 %, validation acc 77.500000 %, test acc 86.818182 %
epoch 101, minibatch 20/20, train loss 1.351458, validation loss 0.763702, train acc 35.000000 %, validation acc 77.500000 %, test acc 87.272727 %
epoch 102, minibatch 20/20, train loss 1.348643, validation loss 0.757337, train acc 40.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 103, minibatch 20/20, train loss 1.345610, validation loss 0.751073, train acc 40.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 104, minibatch 20/20, train loss 1.342354, validation loss 0.744902, train acc 40.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 105, minibatch 20/20, train loss 1.338875, validation loss 0.738813, train acc 40.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 106, minibatch 20/20, train loss 1.335167, validation loss 0.732800, train acc 45.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 107, minibatch 20/20, train loss 1.331226, validation loss 0.726853, train acc 45.000000 %, validation acc 77.500000 %, test acc 87.727273 %
epoch 108, minibatch 20/20, train loss 1.327054, validation loss 0.720965, train acc 45.000000 %, validation acc 80.000000 %, test acc 88.181818 %
epoch 109, minibatch 20/20, train loss 1.322647, validation loss 0.715129, train acc 45.000000 %, validation acc 80.000000 %, test acc 88.181818 %
epoch 110, minibatch 20/20, train loss 1.318006, validation loss 0.709340, train acc 50.000000 %, validation acc 85.000000 %, test acc 89.090909 %
epoch 111, minibatch 20/20, train loss 1.313125, validation loss 0.703590, train acc 50.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 112, minibatch 20/20, train loss 1.308004, validation loss 0.697875, train acc 55.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 113, minibatch 20/20, train loss 1.302640, validation loss 0.692188, train acc 55.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 114, minibatch 20/20, train loss 1.297033, validation loss 0.686525, train acc 55.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 115, minibatch 20/20, train loss 1.291181, validation loss 0.680880, train acc 55.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 116, minibatch 20/20, train loss 1.285081, validation loss 0.675249, train acc 60.000000 %, validation acc 85.000000 %, test acc 90.454545 %
epoch 117, minibatch 20/20, train loss 1.278737, validation loss 0.669630, train acc 60.000000 %, validation acc 85.000000 %, test acc 90.909091 %
epoch 118, minibatch 20/20, train loss 1.272148, validation loss 0.664017, train acc 60.000000 %, validation acc 85.000000 %, test acc 90.909091 %
epoch 119, minibatch 20/20, train loss 1.265322, validation loss 0.658401, train acc 60.000000 %, validation acc 85.000000 %, test acc 90.909091 %
epoch 120, minibatch 20/20, train loss 1.258275, validation loss 0.652783, train acc 60.000000 %, validation acc 87.500000 %, test acc 91.363636 %
epoch 121, minibatch 20/20, train loss 1.250960, validation loss 0.647170, train acc 60.000000 %, validation acc 87.500000 %, test acc 91.363636 %
epoch 122, minibatch 20/20, train loss 1.243426, validation loss 0.641547, train acc 60.000000 %, validation acc 87.500000 %, test acc 91.363636 %
epoch 123, minibatch 20/20, train loss 1.235644, validation loss 0.635920, train acc 60.000000 %, validation acc 87.500000 %, test acc 91.363636 %
epoch 124, minibatch 20/20, train loss 1.227617, validation loss 0.630287, train acc 60.000000 %, validation acc 90.000000 %, test acc 91.363636 %
epoch 125, minibatch 20/20, train loss 1.219352, validation loss 0.624646, train acc 60.000000 %, validation acc 90.000000 %, test acc 91.363636 %
epoch 126, minibatch 20/20, train loss 1.210852, validation loss 0.618997, train acc 60.000000 %, validation acc 90.000000 %, test acc 91.363636 %
epoch 127, minibatch 20/20, train loss 1.202124, validation loss 0.613336, train acc 60.000000 %, validation acc 90.000000 %, test acc 91.363636 %
epoch 128, minibatch 20/20, train loss 1.193173, validation loss 0.607663, train acc 60.000000 %, validation acc 90.000000 %, test acc 90.909091 %
epoch 129, minibatch 20/20, train loss 1.183999, validation loss 0.601976, train acc 60.000000 %, validation acc 90.000000 %, test acc 90.909091 %
epoch 130, minibatch 20/20, train loss 1.174603, validation loss 0.596276, train acc 60.000000 %, validation acc 90.000000 %, test acc 90.909091 %
Optimization complete. Best validation score of inf % obtained at iteration 1, with test performance 90.909091 %
final test accuracy of best model 90.909091 %

Process finished with exit code 0
